id,source_family,plain_proposition,current_protocol_collision,common_sense_or_named_theory,protocol_disposition,strict_novelty_status,related_gap
ICP004-01,state-machine design,"Readiness for a therapy step is a vector of capacities rather than one global 'regulated enough' score; each branch should name the particular prerequisite it consumes.",partial,"Case formulation and skill-specific readiness are familiar.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G01/G02
ICP004-02,fault isolation,"A stalled session may reflect substitution of one adult function for another: soothing where protection is needed, control where nurture is needed, or demanding guidance where safety is missing.",partial,"Matching intervention to need and mode/function-specific formulation are familiar; the three-function matrix is project-specific.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G03
ICP004-03,consent plus control systems,"When a protector or child-state says 'not now' to optional introspection, stop or change that exercise now; do not create an automatic retry obligation, and revisit later only with renewed consent. Anti-avoidance work belongs to classification, external responsibilities, and genuinely chosen graded approach rather than forced re-entry.",none_material,"Informed consent, shared decision-making, motivational interviewing, graded exposure, and alliance work already supply the component logic. Independent hostile review found a precommitted retry condition can become covert coercion.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G04
ICP004-04,exposure/trauma pacing,"The bot must distinguish tolerable difficulty from destabilization using observable loss-of-capacity signals, otherwise 'never push a guard' can accidentally reinforce avoidance and 'the Guide requires difficulty' can reenact coercion.",partial,"Exposure pacing, functional analysis, collaborative engagement, and adverse-effect monitoring are known.",PRACTICAL ADDITION,KNOWN PRIOR ART,G04/G05
ICP004-05,constitutional design,"Use a thin adult-led interface rather than a formal internal constitution: states report; optional introspection requires present consent; Protector alarms trigger review; Guide proposes; Nurturer care remains available; the present adult integrates current facts, values, obligations, expertise, and consequences and owns external action.",partial,"IFS Self-leadership, Schema Healthy Adult, Transactional Analysis, ACT, autonomy-supportive parenting, and shared-decision/informed-consent models substantially predate the decomposition. Parallel review recommended the least elaborate rule set that resolves the actual conflicts.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G06
ICP004-06,conditional regard,"Protector and Guide may set limits or choose difficult action without making Nurturer warmth conditional on obedience, success, gratitude, or agreement.",partial,"Conditional-regard and autonomy-support research directly supports separating warmth from controlling contingencies.",PRACTICAL ADDITION,KNOWN PRIOR ART,G06
ICP004-07,obligation accounting,"No-arrears should apply to punitive accumulation of missed internal care practice, not erase real external consequences or clinically necessary therapeutic dose.",none_material,"CBT homework troubleshooting, relapse-prevention lapse handling, self-compassion, goal re-engagement, and explicit no-catch-up habit advice provide close roots; exposure adherence supplies the dose boundary.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G07
ICP004-08,reliability engineering,"Inner-adult promises should commit only to behavior substantially under present control; do not promise feelings, perfect future performance, or another person's response.",partial,"Implementation intentions, controllability, and realistic goal-setting are familiar.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G07
ICP004-09,predictive trust,"Trust should be updated by domain-specific predictions rather than a single global trust score; reliability around sleep does not prove reliability around romantic panic, money, or boundaries.",partial,"Behavioral experiments, expectancy updating, and context-specific learning are established roots.",PRACTICAL ADDITION,KNOWN PRIOR ART,G08
ICP004-10,dependency/concentration risk,"When one external helper simultaneously supplies Nurturer, Protector, Guide, interpretation of ambiguous memories/altered material, and primary belonging, treat that concentration as a risk-review trigger rather than proof of pathology.",partial,"Transference, care dependency, boundary/multiple-role ethics, undue influence, suggestibility, and guruism already cover the risk dimensions; no special nonlinear bundle mechanism was established.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G09
ICP004-11,resilience/support networks,"Borrowed adulthood should have a failure-safe path when a helper becomes unavailable, but support redundancy must not be confused with requiring self-sufficiency.",partial,"Article already says borrowing stays narrow and support can include multiple sources; redundancy and skill-maintenance roots are familiar.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G09
ICP004-12,altered-state systems,"Before deliberately escalating again into a deeper or altered state, assess unresolved integration load from prior sessions; use restored ordinary capacity rather than a universal elapsed-time threshold.",none_material,"Psychedelic integration/adverse-event literature and trauma pacing support the safety concern but do not validate a universal integration-load algorithm.",PROVISIONAL,REJECTED FOR NOVELTY,G10
ICP004-13,information provenance,"Tag experiential material with its source type at first capture—direct memory, testimony, inference, photograph, constructed imagery, felt sense, dream, hypnosis, entheogen/altered state, metaphor, uncertainty—so later confidence drift cannot silently convert salience into historical certainty.",partial,"Source Monitoring Framework, imagination-inflation, and false-memory research directly support preserving source distinctions.",SAFETY / EPISTEMIC GATE,KNOWN PRIOR ART,G11
ICP004-14,state-machine hysteresis,"After de-escalation, require restored orientation, meaningful choice, and ordinary function before deliberately re-entering deeper work rather than bouncing back in as soon as distress briefly falls; exact threshold remains qualitative.",none_material,"Stabilization, adverse-effect monitoring, and return-to-processing logic are familiar; no validated universal threshold was found.",PROVISIONAL,REJECTED FOR NOVELTY,G12
ICP004-15,positive parenting/attachment,"Ordinary positive child-adult contact should occur independently of crisis so pain is not the admission ticket to Nurturer attention.",partial,"Positive parent-child interaction, shared positive affect, play, secure-base, and relationship-maintenance work are established.",PRACTICAL ADDITION,KNOWN PRIOR ART,G13
ICP004-16,identity/safety,"Identity differentiation may sometimes require reducing coercive social input, but the protocol should preserve chosen support and avoid turning 'find yourself' into a default recommendation for social withdrawal.",partial,"Differentiation, autonomy support, and anti-isolation safeguards are familiar.",SAFETY / EPISTEMIC GATE,REJECTED FOR NOVELTY,G14
ICP004-17,collaborative formulation,"If the user rejects the bot's interpretation that a response is a protector/child/critic state, the bot should lower confidence in that formulation and reopen ordinary alternatives rather than treating disagreement as more evidence for the model.",partial,"Collaborative formulation, alliance research, and falsifiability are established psychotherapy principles.",CORRECTION,KNOWN PRIOR ART,G15
ICP004-18,sequential fault diagnosis,"Evidence against the broad reparenting target should accumulate only after more local hypotheses—understanding, implementation, repetition, sequencing, prerequisite support, delivery fit, protocol nuance, adjunct need, and narrower mechanism—have been meaningfully tested rather than merely assumed away.",partial,"Differential formulation and measurement-feedback/fault-isolation principles are established; owner correction already owns the thesis distinction.",PRACTICAL ADDITION,REJECTED FOR NOVELTY,G16
