id,source_family,plain_proposition,article_collision,common_sense_or_named_theory,practical_disposition,strict_novelty_status,notes
ICB003-01,contextual learning,"Adult capacities should be mapped by function and context rather than rated globally: a person may access Nurturer in calm states, Protector at work, and no adult function during shame or attachment panic.",partial,"Context specificity / state-dependent access are established roots.",high_value_practical,rejected_as_strict,"Extends article's three functions and daily-life transfer into a diagnostic matrix."
ICB003-02,reliability/configuration management,"When an inner-adult promise changes, explicitly retire/renegotiate the old promise instead of silently moving the goalposts.",none_material,"Promise repair/renegotiation is familiar; exact versioning transfer not established.",retain_practical,promising_but_blocked,"Could prevent apparent inconsistency from undermining trust."
ICB003-03,predictive processing/behavioral experiments,"Ask the child or protector what it predicts the adult will actually do, then create a small observable test and compare prediction with outcome.",partial,"Expectancy violation and behavioral experiments are established.",high_value_practical,rejected_as_strict,"Operationalizes track-record repair without persuasion."
ICB003-04,IFS/behavioral experiment,"Ask a protector what specific evidence would justify relaxing by five percent rather than asking it to trust in the abstract.",partial,"IFS permission/protector work and behavioral experiments are familiar.",retain_practical,rejected_as_strict,"Possible compact exercise after 'what do you fear would happen?'."
ICB003-05,skill maintenance,"Previously internalized adult functions may become temporarily inaccessible under severe stress; re-borrowing a function can be maintenance rather than proof internalization never occurred.",partial,"Skill relapse/booster support is familiar.",retain_practical,rejected_as_strict,"Must not weaken owner's requirement that internalization is the goal."
ICB003-06,safety engineering/altered states,"For irreversible decisions arising in altered states, require a second sober/regulatory confirmation unless immediate safety requires action.",partial,"State-dependent judgment safeguards are familiar; article already separates altered-state material from historical fact.",retain_practical,rejected_as_strict,"Potential safety extension, not novelty."
ICB003-07,outcome measurement,"Track experiential depth, integration, adult-function access, and ordinary outcomes as separate axes rather than using any one as a proxy for the others.",partial,"Multidimensional outcome/process measurement is standard; owner already corrected category confusion.",high_value_practical,rejected_as_strict,"Could operationalize the owner's depth/integration distinction."
ICB003-08,diagnostic fault trees,"When reparenting stalls, localize the failure: wrong adult function, function absent, transfer failure, prerequisite/regulation failure, unrealistic commitment, helper dependency, or broader protocol problem.",partial,"Case formulation/fault isolation is familiar; workflow already owns the broader failure differential.",high_value_practical,rejected_as_strict,"Could turn owner correction into a reader-facing troubleshooting tree."
ICB003-09,behavioral parenting/attachment,"Do not make distress the admission ticket to inner-adult attention; build ordinary positive child-adult contact through play, curiosity, celebration, and companionship as well as responding to pain.",partial,"Positive/child-directed attention and attachment secure-base work are established.",high_value_practical,rejected_as_strict,"Article says pl/ork and values play but gives little explicit non-crisis relationship practice."
ICB003-10,behavioral contingencies,"Proactive positive contact may reduce the chance that escalating distress becomes the only reliable channel for obtaining internal attention, without ever withdrawing care during distress.",none_material,"Noncontingent attention/reinforcement is established in behavior analysis; transfer to inner-child practice not established here.",retain_cautiously,promising_but_blocked,"Must avoid implying distress is manipulative or should be ignored."
ICB003-11,parentification/reciprocity,"A parentified reader should practice receiving care without immediate repayment, caretaking, or emotional management of the helper.",none_material,"Compulsive caregiving / suppressed care-seeking is established attachment prior art.",high_value_practical,rejected_as_strict,"Specific corrective exercise for pseudo-adult presentation."
ICB003-12,post-error sequencing,"After a personal failure, Nurturer should usually make contact before Guide analyzes what to change, otherwise guidance can reproduce the inherited critic.",partial,"Support-before-correction / unconditional regard is familiar.",retain_practical,rejected_as_strict,"Could pair with non-withdrawable Nurturer and repair-after-breach."
ICB003-13,developmental scaffolding,"Guide demands should be calibrated just beyond current capacity; overwhelming demands are not evidence of better leadership.",partial,"Scaffolding / zone of proximal development / graded challenge are standard.",retain_if_needed,rejected_as_strict,"Useful but likely obvious."
ICB003-14,trust dynamics,"The child/protector may update trust asymmetrically after breaches, so one conspicuous failure can matter more than several routine successes; promises should therefore minimize avoidable high-salience breaches.",partial,"Negativity/trust-breach asymmetry is established.",retain_background,rejected_as_strict,"Could explain why small reliable vows matter, but article already emphasizes track record."
ICB003-15,positive memory retrieval,"After a successful adult-child interaction, deliberately encode a cue that can later retrieve the experience under stress.",partial,"Retrieval cues and positive imagery are established learning mechanisms; article already uses physical reminders.",already_owned_or_minor,rejected_internal_collision,"Physical-reminder section substantially owns this."
ICB003-16,developmental plurality,"Different-aged child-states may need different forms of adult response; the same explanation, choice burden, or boundary can be appropriate for an adolescent state and misattuned for a very young one.",partial,"Developmentally appropriate parenting is standard; article already distinguishes child/adolescent/younger-adult ages.",retain_practical,rejected_as_strict,"Possible expansion only if concise."
ICB003-17,causal monitoring,"Track process variables—self-attack, kept promises, boundaries, help-seeking, child trust—alongside outcomes so lack of change can be localized rather than treated as one undifferentiated treatment failure.",partial,"Process monitoring and mediation are standard; workflow already owns failure differential.",high_value_practical,rejected_as_strict,"Could strengthen outcome-measurement section if article gains one."
ICB003-18,relationship maintenance,"Inner-child contact should continue during ordinary and good periods, not only during repair work, so the relationship becomes a life relationship rather than a crisis service.",partial,"Positive parenting/relationship maintenance are familiar roots.",high_value_practical,rejected_as_strict,"Strong article fit with pl/ork and healed-child qualities."
