name,year,manitoba_daughters_count,notes
Airport,1971,0,
Baker,1973,0,
Barrickman,1920,3,
Bloomfield,1957,2,
Blumengart,1922,3,
Bon Homme,1918,4,
Brightstone,1959,1,
Broad Valley,1974,0,
Clearview,1983,0,
Clearwater,1959,1,
Crystal Spring,1954,2,
Cypress,1975,1,
Decker,1981,0,
Deerboine,1959,1,
Elm River,1934,3,
Evergreen,1975,1,
Fairholme,1959,1,
Glenway,1966,1,
Grand,1959,2,
Grass River,1974,1,
Greenwald,1955,1,
Hidden Valley,1968,1,
Hillside,1959,1,
Holmfield,1975,0,
Homewood,1962,2,
Huron,1918,4,
Iberville,1919,4,
Interlake,1961,1,
James Valley,1918,5,
Lakeside,1946,3,
Maple Grove,1981,1,
Marble Ridge,1972,1,
Maxwell,1918,5,
Mayfair,1973,0,
Miami,1966,1,
Milltown,1918,4,
Newdale,1974,1,
Newhaven,1977,0,
New Rosedale,1944,3,
Oak Bluff,1952,2,
Oakridge,1969,1,
Parkview,1964,1,
Pembina,1961,0,
Pine Creek,1972,0,
Plainview,1974,1,
Poplar Point,1938,3,
Rainbow,1964,1,"MHS lists founded 1964-1990; separate from church; daughter Baker."
Ridgeland,1967,2,
Riverbend,1969,1,
Riverdale,1946,2,
Riverside,1933,3,
Rock Lake,1947,3,
Rosedale,1918,5,
Roseisle,1929,0,"MHS lists closed 1936."
Rose Valley,1958,2,
Sommerfeld,1977,0,
Souris River,1977,0,
Springfield,1950,1,
Spring Hill,1964,1,
Spring Valley,1956,2,
Spruce Wood,1976,1,
Sturgeon Creek,1938,4,
Suncrest,1969,1,
Sunnyside,1939,3,
Thorndale (Sharpe),1924,1,"MHS lists closed 1929; daughter Roseisle."
Treesbank,1984,0,
Valley View,1986,0,
Waldheim,1934,3,
Wellwood,1967,1,
Whiteshell,1962,1,
Willow Creek,1981,0,
Windy Bay,1979,0,
Woodland,1971,1,
